Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
197	single	Hey Ya	Sleep Token	None	Hey Ya	proggressive metal	2018	https://p.scdn.co/mp3-preview/89446ec3778d2544bdb42c488f66bca7b1daee37
198	album	Artificial Void	Unprocessed	None	Abandoned	djent	2019	https://p.scdn.co/mp3-preview/2f2327f321da76eede34fab5363fd4d0c1acb442
199	album	Silent Machine	Twelve Foot Ninja	None	Coming For You	djent	2012	https://p.scdn.co/mp3-preview/490797e0514e7c24f2338fc66b044d78bf7521d8
200	album	Sempiternal (Deluxe Edition)	Bring Me The Horizon	None	Can You Feel My Heart	metalcore	2013	https://p.scdn.co/mp3-preview/0ca9050333b05b2137989769cde51e23a5888f1d
201	album	Waking The Fallen	Avenged Sevenfold	None	Unholy Confessions	nu metal	2003	https://p.scdn.co/mp3-preview/c66045cf9b6427ea6c4b50ab6494b3e58d286e58
202	album	Disgusting	Beartooth	None	In Between	post-screamo	2014	https://p.scdn.co/mp3-preview/3e2047c37452ef20a7011549685653718a6d062c
203	album	Atlas	Parkway Drive	None	Wild Eyes	nu metal	2012	https://p.scdn.co/mp3-preview/e63650da75adb6ad249925a2b6314c451e27fd39
204	album	Lost Forever \\ Lost Together	Architects	None	Broken Cross	metalcore	2014	https://p.scdn.co/mp3-preview/c2755949ec659e9f9d56a07064558dfe9ae5b963
205	album	TIM	Avicii	Aloe Blacc	SOS	dance pop	2019	https://p.scdn.co/mp3-preview/fdcb81c8cf0f14c5d0f4478511bd8d7356e19723
206	album	Fire Within	Birdy	None	Skinny Love	pop	2013	https://p.scdn.co/mp3-preview/fa2ee949327d85e7bd22385f00737744ebf87d60
207	album	Still Alive	Prison	None	You and Me and the Devil	metallic hardcore	2019	https://p.scdn.co/mp3-preview/f9fde48416c4ae1e29f807714fbb19919cada754
208	album	Music To Be Murdered By	Eminem	KXNG Crooked, Royce Da 5'9", Joell Ortiz	I Will	hip hop	2020	https://p.scdn.co/mp3-preview/e2edf4bba2042fa1c47c18a29c83e27c39e23d42
209	album	Music To Be Murdered By	Eminem	None	Little Engine	rap	2020	https://p.scdn.co/mp3-preview/cc9c59c117bf58d031b0b8aceccb095cbde0ce8f
210	album	Mansion	NF	Fleurie	Mansion	rap	2015	https://p.scdn.co/mp3-preview/98c730b0a254315d18203967f4a329da4cd006d2
211	album	The Search	NF	None	Trauma	rap	2019	https://p.scdn.co/mp3-preview/bbcb2aa9d3edbf27f83a672aa2e2d131b29a9923
212	album	Music To Be Murdered By	Eminem	None	Never Love Again	rap	2020	https://p.scdn.co/mp3-preview/8687666afe612a3b0a48c2b11e6bdcc6b053e19b
213	album	I	Jason Richardson	Spencer Sotelo	Retrograde	djent	2016	https://p.scdn.co/mp3-preview/e560ba34276e7ec79da4e03222053d2fc31cf0ac
214	album	Applause Of A Distant Crowd	VOLA	None	Alien Shivers	djent	2018	https://p.scdn.co/mp3-preview/008577675d14c101de231bab237e60889b45a01c
215	album	The Last One	Circles	None	Dream Sequence	djent	2018	https://p.scdn.co/mp3-preview/756a0c7412dca18113acee113749bc14044db4ad
216	single	Jaws	Sleep Token	None	Jaws	proggressive metal	2018	https://p.scdn.co/mp3-preview/6a2fec52e27a145769978c926b572a406aacbb7b
217	album	Illuminate	Anup Sastry	Andy Cizek	Where I Belong	djent	2019	https://p.scdn.co/mp3-preview/72bf81a3d63e2f2bc32026ee1e06253613ba4dba
218	album	We Will All Be Gone	Good Tiger	None	The Devil Thinks I'm Sinking	djent	2018	https://p.scdn.co/mp3-preview/4b25187e3ef6db1e759b6f140354520b5cebc5bf
219	single	Tendinitis	Jason Richardson	None	Tendinitis	djent	2018	https://p.scdn.co/mp3-preview/bb8ec2abfc479c00670f4fca87533deec7a44521
220	album	Outlier	Twelve Foot Ninja	None	One Hand Killing	djent	2016	https://p.scdn.co/mp3-preview/915813f23d134d8d6de024bacb5d88147daa346e
221	single	Blessed Be	Spiritbox	None	Blessed Be	djent	2020	https://p.scdn.co/mp3-preview/07b6272bc567bbaab8e3cd119d4d355634e5c37c
222	single	Fu	Sordid Pink	None	Fu	None	2020	https://p.scdn.co/mp3-preview/e0efbb775e0434eb8f7af5a23c6834e08e810346
223	album	Lun	Destiny Potato	None	Addict	djent	2014	https://p.scdn.co/mp3-preview/8eb60356d20895347e780698c3a5c23485bd5e33
